System Timestamp	Message	Message Type	GT_depth	World Gaze Point X	World Gaze Point Y	World Gaze Point Z	World Gaze Origin R X	World Gaze Origin R Z	World Gaze Origin L X	World Gaze Origin L Z	World Gaze Direction R X	World Gaze Direction R Y	World Gaze Direction R Z	World Gaze Direction L X	World Gaze Direction L Y	World Gaze Direction L Z	Estimated Depth
63817692368424	 sample	DepthCalibration	0.7153091166605	-0.6041036	0.2382878	7.907166	0.03037981	-0.026	-0.03245892	-0.026	-0.09991536	0.02488877	0.9946846	-0.05156902	0.03496703	0.9980571	1.09197965429575
63817692368425	 sample	DepthCalibration	0.7153091166605	-0.6041036	0.2382878	7.907166	0.03037981	-0.026	-0.03245892	-0.026	-0.09991536	0.02488877	0.9946846	-0.05156902	0.03496703	0.9980571	1.09197965429575
63817692368444	 sample	DepthCalibration	0.725019970980536	-0.4978461	0.2045729	6.694819	0.03037981	-0.026	-0.03245892	-0.026	-0.09890252	0.02555079	0.994769	-0.04841953	0.03511287	0.9982097	1.09404834200515
63817692368444	 sample	DepthCalibration	0.725019970980536	-0.4978461	0.2045729	6.694819	0.03037981	-0.026	-0.03245892	-0.026	-0.09890252	0.02555079	0.994769	-0.04841953	0.03511287	0.9982097	1.09404834200515
63817692368449	 sample	DepthCalibration	0.727719401084185	-0.4424799	0.1854139	5.994	0.03037981	-0.026	-0.03245892	-0.026	-0.09932014	0.02595217	0.9947171	-0.04682386	0.03543128	0.9982746	1.10098380960578
63817692368450	 sample	DepthCalibration	0.727719401084185	-0.4424799	0.1854139	5.994	0.03037981	-0.026	-0.03245892	-0.026	-0.09932014	0.02595217	0.9947171	-0.04682386	0.03543128	0.9982746	1.10098380960578
63817692368465	 sample	DepthCalibration	0.735164056102079	-0.3054007	0.1342051	4.248865	0.03037981	-0.026	-0.03245892	-0.026	-0.09866484	0.02654898	0.9947665	-0.04324534	0.03602493	0.9984148	1.10098380960578
63817692368465	 sample	DepthCalibration	0.735164056102079	-0.3054007	0.1342051	4.248865	0.03037981	-0.026	-0.03245892	-0.026	-0.09866484	0.02654898	0.9947665	-0.04324534	0.03602493	0.9984148	1.10098380960578
63817692368480	 sample	DepthCalibration	0.742123490635135	-0.1836528	0.083878	2.585093	0.03037981	-0.026	-0.03245892	-0.026	-0.09926208	0.02834964	0.9946574	-0.0401383	0.0356798	0.9985569	1.11385474397203
63817692368481	 sample	DepthCalibration	0.742123490635135	-0.1836528	0.083878	2.585093	0.03037981	-0.026	-0.03245892	-0.026	-0.09926208	0.02834964	0.9946574	-0.0401383	0.0356798	0.9985569	1.11385474397203
63817692368650	 sample	DepthCalibration	0.818211398709813	0.02453952	0.079533	2.32471	0.03037981	-0.026	-0.03245892	-0.026	-0.03965829	0.02437677	0.9989159	0.06137867	0.04315839	0.9971811	4.60510841480259
63817692368650	 sample	DepthCalibration	0.818211398709813	0.02453952	0.079533	2.32471	0.03037981	-0.026	-0.03245892	-0.026	-0.03965829	0.02437677	0.9989159	0.06137867	0.04315839	0.9971811	4.60510841480259
63817692368655	 sample	DepthCalibration	0.820858001983764	0.03238063	0.08041708	2.324582	0.03037981	-0.026	-0.03245892	-0.026	-0.03965829	0.02437677	0.9989159	0.06803188	0.04389695	0.996717	4.65292991236603
63817692368656	 sample	DepthCalibration	0.820858001983764	0.03238063	0.08041708	2.324582	0.03037981	-0.026	-0.03245892	-0.026	-0.03965829	0.02437677	0.9989159	0.06803188	0.04389695	0.996717	4.65292991236603
63817692368673	 sample	DepthCalibration	0.828143569450192	0.02946549	0.04868715	1.371168	0.03037981	-0.026	-0.03245892	-0.026	-0.03306997	0.02461646	0.9991499	0.07663209	0.04491026	0.9960475	3.90040205540989
63817692368673	 sample	DepthCalibration	0.828143569450192	0.02946549	0.04868715	1.371168	0.03037981	-0.026	-0.03245892	-0.026	-0.03306997	0.02461646	0.9991499	0.07663209	0.04491026	0.9960475	3.90040205540989
63817692368686	 sample	DepthCalibration	0.833930878185304	0.01546419	0.02630453	0.7224475	0.03037981	-0.026	-0.03245892	-0.026	-0.03420917	0.02488757	0.9991048	0.07820054	0.04522818	0.9959112	3.91714996889685
63817692368688	 sample	DepthCalibration	0.833930878185304	0.01546419	0.02630453	0.7224475	0.03037981	-0.026	-0.03245892	-0.026	-0.03420917	0.02488757	0.9991048	0.07820054	0.04522818	0.9959112	3.91714996889685
63817692368854	 sample	DepthCalibration	0.901576884665679	0.07358778	0.2995504	9.195371	0.03037981	-0.026	-0.03245892	-0.026	-0.05600128	0.02284422	0.9981693	0.07214397	0.04195171	0.9965116	12.5977531126344
63817692368855	 sample	DepthCalibration	0.901576884665679	0.07358778	0.2995504	9.195371	0.03037981	-0.026	-0.03245892	-0.026	-0.05600128	0.02284422	0.9981693	0.07214397	0.04195171	0.9965116	12.5977531126344
63817692368874	 sample	DepthCalibration	0.90910481637374	0.02759314	0.3164285	9.94698	0.03037981	-0.026	-0.03245892	-0.026	-0.06174392	0.02180145	0.9978539	0.0674708	0.04148793	0.9968583	13.0999425700462
63817692368875	 sample	DepthCalibration	0.90910481637374	0.02759314	0.3164285	9.94698	0.03037981	-0.026	-0.03245892	-0.026	-0.06174392	0.02180145	0.9978539	0.0674708	0.04148793	0.9968583	13.0999425700462
63817692368892	 sample	DepthCalibration	0.916010517032916	-0.01958711	0.2921593	9.701045	0.03037981	-0.026	-0.03245892	-0.026	-0.06694386	0.01942344	0.9975677	0.06314027	0.04049041	0.997183	12.9666549657485
63817692368892	 sample	DepthCalibration	0.916010517032916	-0.01958711	0.2921593	9.701045	0.03037981	-0.026	-0.03245892	-0.026	-0.06694386	0.01942344	0.9975677	0.06314027	0.04049041	0.997183	12.9666549657485
63817692369054	 sample	DepthCalibration	0.97570213565231	-0.03724508	0.2033913	9.294474	0.03037981	-0.026	-0.03245892	-0.026	-0.05644988	0.009379895	0.9983613	0.0486941	0.03418966	0.9982284	11.6841900239719
63817692369055	 sample	DepthCalibration	0.97570213565231	-0.03724508	0.2033913	9.294474	0.03037981	-0.026	-0.03245892	-0.026	-0.05644988	0.009379895	0.9983613	0.0486941	0.03418966	0.9982284	11.6841900239719
63817692369072	 sample	DepthCalibration	0.982481482576389	-0.02948801	0.1977223	9.123561	0.03037981	-0.026	-0.03245892	-0.026	-0.05567076	0.009043274	0.9984082	0.04946279	0.03410335	0.9981936	11.8822938832252
63817692369073	 sample	DepthCalibration	0.982481482576389	-0.02948801	0.1977223	9.123561	0.03037981	-0.026	-0.03245892	-0.026	-0.05567076	0.009043274	0.9984082	0.04946279	0.03410335	0.9981936	11.8822938832252
63817692369078	 sample	DepthCalibration	0.984558451678893	-0.03445577	0.195837	9.256035	0.03037981	-0.026	-0.03245892	-0.026	-0.05626637	0.007978646	0.9983839	0.04907844	0.03414651	0.9982111	11.6841900239719
63817692369078	 sample	DepthCalibration	0.984558451678893	-0.03445577	0.195837	9.256035	0.03037981	-0.026	-0.03245892	-0.026	-0.05626637	0.007978646	0.9983839	0.04907844	0.03414651	0.9982111	11.6841900239719
63817692369092	 sample	DepthCalibration	0.989726792360439	-0.03189886	0.1826617	9.136127	0.03037981	-0.026	-0.03245892	-0.026	-0.05572375	0.006642566	0.9984241	0.04899869	0.0331643	0.9982481	11.7503080736465
